id,name
pragmatic-play,Pragmatic Play
netent,NetEnt
evolution-gaming,Evolution Gaming
playngo,Play'n GO
nolimit-city,Nolimit City
microgaming,Microgaming
hacksaw-gaming,Hacksaw Gaming
relax-gaming,Relax Gaming
